Item (100 gr)	Kcal	Carbs	Fats	Prots	Indice Glicemico (IG)	Vitamina A (µg)	Vitamina D (µg)	Vitamina E (mg)	Vitamina K (µg)	Vitamina C (mg)	Tiamina (B1) (mg)	Riboflavina (B2) (mg)	Niacina (B3) (mg)	Vitamina B6 (mg)	Folato (B9) (µg)	Vitamina B12 (µg)	Biotina (B7) (µg)	Acido pantotenico (B5) (mg)	Calcio (mg)	Ferro (mg)	Magnesio (mg)	Zinco (mg)	Rame (mg)	Manganese (mg)	Selenio (µg)	Iodio (µg)	Potassio (mg)	Sodio (mg)	Omega3 (mg)	Omega6 (mg)	Peculiarità Nutrizionale	
Multi Men 35+ (2 tabs)	0	0	0	0	0	667	20	5	70	165	2,3	2,8	33	2,8	300	5	95	12	0	14	250	8	0	0	55	92	0	0	0	0		
Multi Men 18+ (2 tabs)	0	0	0	0	0	667	20	5	65	200	1,3	1,5	18	1,6	250	4,3	60	7	0	13	250	7	0,4	2	30	150	0	0	0	0		
Mandorle	578	19,7	50,6	21,2	15	1	0	25	0	0	0,2	1,1	3,4	0,1	50	0	17	0,5	260	3,7	270	3,1	1	2,3	4	0	733	1	10	12200	Ricche di grassi monoinsaturi e vitamina E, ottime per la salute del cuore.	
Burro Arachidi	588	19,6	50,4	25,1	40	0	0	8	0	0	0,2	0,15	15	0,5	60	0	17	1,9	70	1,8	170	3,3	1,1	1,9	7	3	660	17	50	8000	Alta in grassi sani e proteine, ma anche calorico.	
Whey Protein	378	7,3	6,7	72	0	0	0	0,1	0	0	0,06	0,35	8	0,2	15	0,5	10	1	100	0,2	50	5	0,15	0,02	15	5	200	120	30	50	Alta concentrazione di proteine ad assorbimento rapido, ideale per il recupero muscolare.	
Uova	147	0,8	9,9	12,6	0	140	1,1	1	0	0	0,04	0,45	0,1	0,1	47	1,1	10	1,4	56	1,8	10	1,3	0,07	0,02	30	50	126	140	140	100	Fonte completa di proteine e ricca di vitamine e minerali come vitamina D e colina.	
Spinaci	23	3,6	0,4	2,9	15	469	0	2	483	28	0,08	0,19	0,7	0,2	194	0	6	0,3	99	2,7	79	0,5	0,13	0,9	1	0,5	558	79	138	1150	Eccellente fonte di ferro, calcio e vitamine A e K	
Pambauletto integrale	260	40	4,8	11																												
Nasello	81	2	0	17																												
Bresaola	153	2,8	1,9	31,1	0	10	0	0,2	1	0	0,07	0,15	4	0,2	10	2	6	1	10	2	25	4	0,1	0,04	18	10	1080	1600	0	0	Alta in proteine e bassa in grassi, ideale per aumentare l'apporto proteico.	
Macinato di Tacchino	114	1,4	2,3	22																												
Tonno Fresco	156	0	6,9	21,9	0	40	3	1	0	0	0,05	0,35	17	0,9	10	5	6	2	10	1,2	40	1,5	0,04	0,02	40	15	320	60	400	200	Ottima fonte di proteine e omega-3, con benefici per la salute cardiovascolare.	
Tonno in scatola sgocciolato	245	0	17	23	0	40	3	1,1	0	0	0,05	0,35	17	0,9	10	5	6	2	10	1,2	40	1,5	0,04	0,02	40	15	237	350	400	200	Alta fonte di proteine e grassi omega-3, ottima per la salute cardiovascolare.	
CornFlakes	360	86,7	0,1	6,7	82	15	0	0,3	0,3	0	1,1	1,2	13	1,1	200	2	5	1,1	5	8	35	1,2	0,3	0,6	17	0,5	80	700	0	1000	Fortificati con vitamine del gruppo B	
Salmone Fresco	183	0	10,8	19,9	0	50	10	1,3	0	0	0,12	0,3	7	0,8	15	4	5	1,8	10	0,7	30	0,7	0,05	0,02	35	18	490	60	2200	300	Ricco di omega-3 e vitamina D, ottimo per la salute del cuore e delle ossa.	
Salmone Affumicato	175	0	9,7	22	0	60	11	1,5	0	0	0,1	0,2	8	0,7	10	4	5	2	15	0,8	30	0,8	0,04	0,02	30	15	490	1100	2200	300	Ricco di proteine e omega-3, alto contenuto di vitamina D, benefico per cuore e ossa.	
Guanciale	655	0	70	8,5	0	10	1,7	0,5	2,5	0	0,4	0,2	4	0,3	3	1	5	0,4	11	1,5	10	1,5	0,1	0,01	20	7	180	1300	120	820	Ricchissimo in grassi saturi e sodio, basso contenuto di proteine e micronutrienti, zero carboidrati, indice glicemico nullo	
Coppiette	379	14	25,7	28,8	0	30	0	0,3	1	0	0,04	0,2	5	0,3	12	0,5	5	0,9	20	1	25	3	0,04	0,01	15	8	750	1300	0	0	Carne secca speziata, alta in proteine e grassi, moderato contenuto di carboidrati.	
Riso nero	353	73	2,7	7,6	45	0	0	1,4	1,9	0	0,42	0,15	5,9	0,51	20	0	4	1,5	33	2,4	143	2,2	0,42	3,5	14	2	50	5	0	3	Ricco di antociani, fibre, senza glutine	
Avocado	160	14,6	14,7	2	15	146	0	2,1	21	10	0,07	0,13	1,7	0,29	81	0	4	1,4	12	0,6	29	0,6	0,19	0,14	0,4	0,2	485	7	110	1600	Ricco di grassi monoinsaturi, buoni per la salute del cuore	
Petto di pollo	195	0	7,7	29,5	0	20	0,1	0,4	2	0	0,07	0,15	12	0,7	5	0,4	4	1,1	15	1,2	30	2,5	0,05	0,02	27	12	256	55	20	80	Alta concentrazione di proteine magre e basso contenuto di grassi.	
Fesa Tacchino	111	0	0,65	24,6	0	20	0	0,3	0	0	0,05	0,15	10	0,4	5	0,2	4	0,8	10	1	25	2	0,03	0,02	20	12	310	55	20	100	Alta in proteine magre, eccellente per la costruzione muscolare.	
Filetti di orata	142,1	0	7,7	18,2	0	20	2	1	0	0	0,04	0,25	6	0,5	5	1	4	0,9	15	1	25	1,5	0,03	0,02	20	10	350	60	200	150	Ricca di omega-3, che supporta la salute cardiaca e cerebrale.	
Lonza di Maiale pt. magra	143	0	5,7	21,4	0	25	0	0,3	1	0	0,05	0,25	8	0,4	8	1,8	4	1	10	1,2	22	2	0,03	0,01	18	10	350	55	20	100	Fornisce proteine di alta qualità e una buona quantità di vitamina B12.	
Grana Padano	398	0	29	33	0	350	0,5	0,4	2	0	0,02	0,4	0,1	0,1	18	1,3	3	0,7	1200	0,6	30	3,5	0,05	0,03	15	4	108	1600	0	0	Elevato contenuto di calcio e proteine, ma anche di grassi saturi.	
Vitello	144	0	7	19,3	0	25	0	0,3	0	0	0,07	0,25	6	0,6	7	1,4	3	0,9	15	2,2	22	3	0,04	0,03	20	15	320	70	40	150	Carne magra ricca di proteine e ferro, utile per la costruzione muscolare.	
